100	0.157	0
99.74	0.223	0
98.93	0.419	0
97.59	0.739	0
95.733	1.172	0
93.377	1.705	0
90.548	2.323	0
87.275	3.006	0
83.591	3.738	0
79.536	4.498	0
75.154	5.267	0
70.49	6.025	0
65.595	6.753	0
60.524	7.431	0
55.331	8.04	0
50.074	8.562	0
44.811	8.978	0
39.597	9.272	0
34.448	9.409	0
29.469	9.366	0
24.722	9.14	0
20.261	8.736	0
16.142	8.163	0
12.411	7.438	0
9.112	6.58	0
6.282	5.615	0
3.952	4.566	0
2.145	3.46	0
0.878	2.319	0
0.161	1.161	0
0	0	0
0.387	-1.106	0
1.308	-2.103	0
2.75	-2.985	0
4.694	-3.748	0
7.115	-4.387	0
9.986	-4.899	0
13.275	-5.282	0
16.945	-5.539	0
20.96	-5.676	0
25.278	-5.703	0
29.857	-5.633	0
34.651	-5.483	0
39.612	-5.272	0
44.737	-5.003	0
49.926	-4.673	0
55.122	-4.298	0
60.267	-3.893	0
65.306	-3.472	0
70.184	-3.048	0
74.846	-2.628	0
79.242	-2.222	0
83.322	-1.836	0
87.04	-1.477	0
90.354	-1.151	0
93.225	-0.862	0
95.622	-0.616	0
97.516	-0.419	0
98.885	-0.275	0
99.712	-0.187	0
100	-0.157	0
