264	0	0
250.81848	1.24872	0
237.6396	2.4816	0
224.4528	3.7224	0
211.26336	4.93152	0
198.066	6.09048	0
184.86072	7.15968	0
171.6528	8.1312	0
158.4396	8.98128	0
145.22112	9.6888	0
132	10.23792	0
118.77624	10.59696	0
105.54984	10.73424	0
92.32344	10.58904	0
79.09704	10.24056	0
65.87328	9.68088	0
52.64952	8.88888	0
39.43368	7.8408	0
26.22312	6.45216	0
19.62048	5.5836	0
13.02576	4.53816	0
6.4416	3.18912	0
3.16272	2.26776	0
1.85856	1.75296	0
1.21176	1.43088	0
0	0	0
1.42824	-1.16688	0
2.10144	-1.38336	0
3.43728	-1.7028	0
6.7584	-2.20704	0
13.37424	-2.86968	0
19.97952	-3.34488	0
26.57688	-3.7224	0
39.76632	-4.28736	0
52.95048	-4.686	0
66.12672	-4.95528	0
79.30296	-5.1084	0
92.47656	-5.15064	0
105.65016	-5.07936	0
118.82376	-4.81536	0
132	-4.41408	0
145.17888	-3.9072	0
158.3604	-3.3264	0
171.5472	-2.6928	0
184.73928	-2.02752	0
197.934	-1.36488	0
211.13664	-0.72864	0
224.3472	-0.16896	0
237.5604	0.24816	0
250.78152	0.41976	0
264	0	0
