257.364	0	0
244.554994	2.267377	0
231.753708	4.47556	0
218.939555	6.73779	0
206.107386	8.987151	0
193.252054	11.179892	0
180.378707	13.261967	0
167.482197	15.181902	0
154.565097	16.888226	0
141.629983	18.337185	0
128.682	19.474734	0
115.721149	20.316314	0
102.750003	20.748686	0
89.77371	20.740965	0
76.797418	20.259694	0
63.826272	19.299726	0
50.867995	17.832752	0
37.922585	15.797002	0
25.010634	13.030339	0
18.576534	11.26997	0
12.165596	9.12098	0
5.808705	6.331154	0
2.679159	4.424087	0
1.459254	3.397205	0
0.864743	2.756368	0
0	0	0
1.708897	-2.24164	0
2.401206	-2.676586	0
3.754941	-3.322569	0
7.059495	-4.416366	0
13.570804	-5.867899	0
20.028066	-6.910223	0
26.462166	-7.708052	0
39.286615	-8.868763	0
52.077605	-9.638282	0
64.855728	-10.086095	0
77.620982	-10.253382	0
90.365133	-10.137568	0
103.141197	-9.723212	0
115.903877	-9.043771	0
128.682	-8.142997	0
141.470417	-7.064642	0
154.271703	-5.862752	0
167.091003	-4.629978	0
179.930893	-3.255655	0
192.793946	-1.966261	0
205.675014	-0.792681	0
218.579245	0.190449	0
231.501492	0.846728	0
244.436606	0.849301	0
257.364	0	0
