64.32	0	640.8
61.118794	0.566659	640.8
57.919517	1.118525	640.8
54.717024	1.683898	640.8
51.510029	2.246054	640.8
48.297245	2.794061	640.8
45.079958	3.31441	640.8
41.856883	3.794237	640.8
38.628662	4.220678	640.8
35.395939	4.5828	640.8
32.16	4.867094	640.8
28.920845	5.077421	640.8
25.679117	5.185478	640.8
22.436102	5.183549	640.8
19.193088	5.06327	640.8
15.95136	4.823357	640.8
12.712848	4.456733	640.8
9.477552	3.947962	640.8
6.250618	3.256522	640.8
4.642618	2.816573	640.8
3.040406	2.279501	640.8
1.451702	1.582272	640.8
0.669571	1.105661	640.8
0.364694	0.849024	640.8
0.216115	0.688867	640.8
0	0	640.8
0.427085	-0.560227	640.8
0.600106	-0.668928	640.8
0.938429	-0.830371	640.8
1.764298	-1.103731	640.8
3.391594	-1.466496	640.8
5.005382	-1.726992	640.8
6.613382	-1.926384	640.8
9.818448	-2.216467	640.8
13.015152	-2.408784	640.8
16.20864	-2.520701	640.8
19.398912	-2.562509	640.8
22.58391	-2.533565	640.8
25.776883	-2.43001	640.8
28.966512	-2.260205	640.8
32.16	-2.035085	640.8
35.356061	-1.765584	640.8
38.555338	-1.46521	640.8
41.759117	-1.157117	640.8
44.968042	-0.813648	640.8
48.182755	-0.491405	640.8
51.401971	-0.198106	640.8
54.626976	0.047597	640.8
57.856483	0.211613	640.8
61.089206	0.212256	640.8
64.32	0	640.8
