   0.2190000000000000E+02,   0.0000000000000000E+00,   0.1151210289800000E-05,   0.1110467105416002E+02
   0.2148420448300000E+02,   0.0000000000000000E+00,   0.3298630314900000E-01,  -0.9199806294846407E+02
   0.2148428994200000E+02,   0.0000000000000000E+00,   0.2858167872300000E-01,  -0.4780561065294484E+02
   0.2088597452800000E+02,   0.0000000000000000E+00,   0.6435888523900000E-01,  -0.9805819055834425E+02
   0.2088604300800000E+02,   0.0000000000000000E+00,   0.4792546021100000E-01,  -0.5579950712097938E+02
   0.2004418069400000E+02,   0.0000000000000000E+00,   0.9794100846900000E-01,  -0.9822116672848315E+02
   0.2004419950100000E+02,   0.0000000000000000E+00,   0.5869450594500000E-01,  -0.8560704094753655E+02
   0.1889415523800000E+02,   0.0000000000000000E+00,   0.1333879131500000E+00,  -0.8835099630966077E+02
   0.1889420060400000E+02,   0.0000000000000000E+00,   0.5691813959500001E-01,  -0.1093584122457265E+03
   0.1738435200000000E+02,   0.0000000000000000E+00,   0.1682848621500000E+00,  -0.5759934019397649E+02
   0.1738469102000000E+02,   0.0000000000000000E+00,   0.3791825232800000E-01,  -0.7357908436459392E+02
   0.1550203848600000E+02,   0.0000000000000000E+00,   0.1984749018000000E+00,  -0.3121676413343473E+02
   0.1550321017700000E+02,   0.0000000000000000E+00,   0.6498923753800000E-03,  -0.4126973160024427E+02
   0.1330076730900000E+02,   0.0000000000000000E+00,   0.2189620113000000E+00,  -0.2296863666148132E+02
   0.1330351317500000E+02,   0.0000000000000000E+00,  -0.4950514310500000E-01,  -0.1292258491437484E+02
   0.1091156262600000E+02,   0.0000000000000000E+00,   0.2255248953100000E+00,  -0.1004051009987540E+02
   0.1091656174200000E+02,   0.0000000000000000E+00,  -0.1006871017100000E+00,   0.1991454408424374E+01
   0.8527701235700000E+01,   0.0000000000000000E+00,  -0.1353361533800000E+00,   0.1784027939382133E+01
   0.8520204978400001E+01,   0.0000000000000000E+00,   0.2164800567800000E+00,  -0.2210407572050029E+01
   0.6324221399900000E+01,   0.0000000000000000E+00,  -0.1446222998800000E+00,   0.7257907368412614E+00
   0.6314644232400000E+01,   0.0000000000000000E+00,   0.1938324930800000E+00,   0.9517749996657033E+00
   0.4439768380700000E+01,   0.0000000000000000E+00,  -0.1414038628400000E+00,   0.2680325451900635E+01
   0.4428886075100000E+01,   0.0000000000000000E+00,   0.1619099253400000E+00,   0.2952948654870724E+01
   0.2929484268500000E+01,   0.0000000000000000E+00,  -0.1308179337800000E+00,   0.3424782153960836E+01
   0.2918194659200000E+01,   0.0000000000000000E+00,   0.1257651019700000E+00,   0.4136355008374494E+01
   0.1781202059600000E+01,   0.0000000000000000E+00,  -0.1159248281800000E+00,   0.3083134949362087E+01
   0.1770361522400000E+01,   0.0000000000000000E+00,   0.8957445218300000E-01,   0.4639874106640392E+01
   0.9435434013000000E+00,   0.0000000000000000E+00,  -0.9716622516600000E-01,   0.3172072773450233E+01
   0.9339741808600001E+00,   0.0000000000000000E+00,   0.5583690469699999E-01,   0.6614925982744253E+01
   0.3529723032700000E+00,   0.0000000000000000E+00,  -0.7247809444800001E-01,   0.3281993857722209E+01
   0.3456756160300000E+00,   0.0000000000000000E+00,   0.2534348536400000E-01,   0.7920364185264954E+01
   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.5738919154507149E+01
   0.3383789287900000E+00,   0.0000000000000000E+00,   0.1231650651800000E+00,   0.7640866941353062E+01
   0.9244049604300001E+00,   0.0000000000000000E+00,   0.2088400345600000E+00,   0.7594210587245539E+01
   0.1759520985200000E+01,   0.0000000000000000E+00,   0.2950737325400000E+00,   0.6092617007531659E+01
   0.2906905050000000E+01,   0.0000000000000000E+00,   0.3823481377300000E+00,   0.4480031090502903E+01
   0.4418003769500000E+01,   0.0000000000000000E+00,   0.4652237135200000E+00,   0.2748936519311876E+01
   0.6305067065000000E+01,   0.0000000000000000E+00,   0.5322872860400000E+00,   0.6161548185476957E+00
   0.8512708721099999E+01,   0.0000000000000000E+00,   0.5682962669400000E+00,   0.9595986378944986E+00
   0.1090656350900000E+02,   0.0000000000000000E+00,   0.5517368923300000E+00,  -0.2525189045321593E+01
   0.1329802144200000E+02,   0.0000000000000000E+00,   0.4874291657100000E+00,  -0.1190254291106617E+02
   0.1550086679600000E+02,   0.0000000000000000E+00,   0.3962999112300000E+00,  -0.1112979664212329E+02
   0.1738401298000000E+02,   0.0000000000000000E+00,   0.2986514719700000E+00,  -0.7973725681997304E+01
   0.1889410987200000E+02,   0.0000000000000000E+00,   0.2098576867100000E+00,  -0.2454200558615048E+02
   0.2004416188700000E+02,   0.0000000000000000E+00,   0.1371875109900000E+00,  -0.4343398320821672E+02
   0.2088590604800000E+02,   0.0000000000000000E+00,   0.8079231026600001E-01,  -0.4703538009364847E+02
