0.00916963830871119,18.1
0.00967906265919513,18.9
0.0957717778909832,15.8
0.0957717778909832,18
0.208863983698421,16.3
0.208863983698421,18.5
0.208863983698421,19.8
0.322465613856342,17.8
0.322465613856342,20.9
0.322465613856342,22.6
0.434538970962812,5.89
0.434538970962812,10.9
0.434538970962812,16.4
0.546612328069282,-7.4
0.546612328069282,-0.792
0.546612328069282,3.38
0.658685685175751,-25.2
0.658685685175751,-12.7
0.658685685175751,-6.33
0.775853285787061,-81.4
0.775853285787061,-61
0.775853285787061,-45.1
0.775853285787061,-29.7
0.862455425369333,-173
0.88792664289353,-177
0.88792664289353,-176
0.88792664289353,-128
0.88792664289353,-79.3
0.88792664289353,-57.9
0.88792664289353,-244
0.88792664289353,-413
0.88792664289353,-387
0.918492103922568,-244
0.943963321446765,-274
0.974528782475802,-189
1,-224
1,-191
1,-366
1,-361
1,-378
1,-384
1,-222
1,-446
1,-375
1,-479
1,-496
1,-512
1,-503
1,-494
1,-495
1,-448
1,-496
1,-405
1,-441
1,-396
1,-379
1,-405
1,-340
1,-395
1,-512
1,-512
1,-512
1,-512
1,-512
1,-506
1,-496
